Career,analog circuits,assembly,automation,backup,c,c++,calibration,circuit design,cisco,component testing,customer support,diagnostics,digital logic,embedded systems,firewalls,firmware,hardware repair,hardware testing,hardware troubleshooting,industrial control,installation,linux,maintenance,microcontrollers,monitoring,network security,networking,on-site,os,oscilloscope,pcb design,plc,power supplies,routing,rtos,scada,schematics,security,sensor integration,sensors,servers,shell scripting,soldering,switching,tcp/ip,troubleshooting,virtualization
Network Administrator,3,4,3,3,3,3,3,4,1,3,3,3,3,3,1,4,3,4,4,3,3,4,4,4,1,1,2,3,3,4,3,4,4,2,3,4,3,4,3,4,4,3,3,1,1,4,3
Embedded Systems Engineer,3,2,4,4,2,1,4,4,3,4,3,3,3,3,4,2,4,3,4,3,3,3,4,2,4,3,3,4,3,4,4,4,3,4,1,3,4,4,4,2,3,3,4,3,3,3,3
IT Support / Technician,4,1,4,4,4,4,3,3,4,4,1,2,4,3,4,3,2,3,3,4,3,3,4,3,3,4,4,3,1,4,4,3,3,3,3,3,4,3,3,3,4,3,4,4,3,1,4
Control Systems Engineer,4,4,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,1,4,4,3,3,4,3,4,4,3,3,3,2,4,4,4,2,3,3,1,4,4,3,3,3,3,4,3
Control Systems Engineer,3,4,2,3,3,4,3,3,3,3,3,3,4,4,4,3,4,3,3,2,3,4,4,4,4,4,4,3,3,4,3,1,3,4,3,1,4,3,1,3,3,3,3,3,4,3,3
Hardware Engineer,3,4,4,4,3,4,3,2,4,3,4,4,2,1,3,4,3,1,3,4,3,4,3,1,4,4,3,4,4,3,2,3,3,4,3,3,1,4,4,3,4,3,4,4,4,3,3
Control Systems Engineer,4,3,1,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,3,2,4,3,4,3,3,3,4,4,3,3,3,1,4,3,3,2,4,3,2,3,3,4,3,4,3,3,4
Electronics Technician,2,3,3,3,3,4,4,4,3,2,4,4,4,3,3,4,3,4,3,3,4,4,4,4,3,4,3,4,3,2,3,3,2,4,3,4,4,3,4,4,4,4,2,4,3,3,4
Control Systems Engineer,3,4,2,3,4,4,3,4,4,4,4,4,3,4,3,3,4,4,3,1,4,3,3,3,3,3,3,4,3,4,4,1,4,4,4,1,3,3,1,4,3,3,4,3,3,3,4
IT Support / Technician,4,2,4,4,4,3,4,4,4,3,2,2,3,4,4,3,2,3,4,4,4,3,3,3,3,4,3,3,1,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,2,3
Field Technician,3,4,4,4,3,4,2,4,3,4,3,3,4,3,3,4,3,4,1,3,2,4,2,3,4,4,4,2,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,4
Network Administrator,3,4,4,4,3,3,3,4,1,3,4,4,4,3,1,3,3,4,3,3,4,4,4,3,2,1,2,4,3,4,4,4,3,2,3,4,4,4,4,4,4,3,3,2,2,3,4
Control Systems Engineer,4,3,2,4,3,4,3,4,4,4,4,4,3,3,3,3,4,4,3,2,4,4,3,3,4,3,4,3,4,4,4,2,4,4,4,2,4,4,2,3,3,3,4,3,3,3,3
Field Technician,4,4,3,3,4,3,2,3,4,3,3,4,3,3,4,3,4,3,1,4,2,4,2,4,3,3,4,2,3,3,4,4,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4
Systems Administrator,3,3,3,1,4,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,1,3,4,1,4,3,3,3,4,3,3,3,3,4,4,4,1,4,4,2,2,4,4,3,3,2
Electronics Technician,2,3,3,3,3,4,3,3,4,2,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,1,4,4,2,3,4,3,4,4,3,3,4,4,2,3,3,4,3
